Elevation (m);Surface Temperature (C);Moho Depth (m);Curie Depth (Km);Magnetic Anomaly (nT)
313.944;26.63028;42863.91201;28;-43.6825
313.3344;26.633328;42855.31133;28;-43.6825
316.3824;26.618088;42859.26549;28;-43.6825
275.2344;26.823828;36310.81077;20;-3.9287
90.5256;27.747372;37832.87962;20;-2.2424
297.4848;26.712576;37704.40031;20;-2.2424
286.512;26.76744;37746.39375;20;-2.2424
92.6592;27.736704;37773.8684;20;-2.2424
95.0976;27.724512;37880.72857;20;-2.2424
310.5912;26.647044;37809.35432;20;-2.2424
299.301408;26.70349296;37868.12952;20;-2.2424
287.655;26.761725;37859.01665;20;-2.2424
286.512;26.76744;40612.26481;32;15.0473
68.8848;27.855576;37311.00059;32;23.5712
137.4648;27.512676;36048.05751;36;-33.7011
172.82;27.3359;37045.60392;36;31.0248
106.68;27.6666;43330.66023;36;19.1474
103.3272;27.683364;43297.33633;36;19.9342
103.632;27.68184;43443.9045;36;19.2297
137.16;27.5142;43392.53325;36;20.0657
111.5568;27.642216;43365.51658;36;19.9342
121.92;27.5904;43335.07941;36;19.9342
109.728;27.65136;43255.47442;36;19.9342
137.7696;27.511152;41202.53589;36;42.4511
130.7592;27.546204;41252.5351;36;42.4511
158.8008;27.405996;44206.7701;36;8.5264
157.5816;27.412092;41255.27919;36;42.4511
176.1744;27.319128;41267.46456;36;42.4511
140.208;27.49896;41238.90333;36;42.4511
168.5544;27.357228;37730.26437;32;37.8311
121.3104;27.593448;45118.59989;30;-2.4715
405.9936;26.170032;45064.28996;30;-1.7549
388.62;26.2569;45041.26129;30;-2.2275
289.2552;26.753724;36109.28961;20;11.5527
173.4312;27.332844;37007.00319;34;36.3659
168.5544;27.357228;43107.41663;32;17.5429
238.9632;27.005184;34377.68377;22;3.3321
76.8096;27.815952;38180.80892;24;1.7798
96.012;27.71994;35450.43893;34;-47.7097
202.692;27.18654;34815.6692;32;-93.9501
526.9992;25.565004;40605.81615;34;15.2177
548.3352;25.458324;46615.02409;30;-4.7771
168.5544;27.357228;44871.12503;30;-7.4923
165.8112;27.370944;44878.77762;30;-7.4923
370.9416;26.345292;44409.27372;26;-10.2205
251.46;26.9427;43754.63002;30;21.7421
445;25.975;45440.38444;30;-2.7063
280.1112;26.799444;43475.52963;30;6.8331
279.8064;26.800968;43426.01329;30;6.8331
238.3536;27.008232;43458.91345;30;6.8331
212.4456;27.137772;44163.68623;24;-24.8947
1110.6912;22.646544;39030.16898;34;-114.3874
175.8696;27.320652;45169.19231;32;-3.2814
156.6672;27.416664;45021.85674;30;-3.5156
154.5336;27.427332;45040.76816;30;-3.5156
163.068;27.38466;45051.94302;30;-3.5156
157.5816;27.412092;45058.85336;30;-2.123
166.7256;27.366372;45049.58971;30;-3.5156
162.7632;27.386184;45059.28077;30;-3.5156
782.4216;24.287892;45023.54573;30;-3.5156
523.9512;25.580244;45038.30991;30;-3.5156
499.872;25.70064;45047.01149;30;-3.5156
551.688;25.44156;45040.94766;30;-3.5156
409.6512;26.151744;45036.36924;30;-3.5156
549.8592;25.450704;45030.41565;30;-3.5156
494.6904;25.726548;45027.14861;30;-3.5156
501.7008;25.691496;45042.16707;30;-3.5156
492;25.74;45062.91017;30;-3.5156
524;25.58;45036.44562;30;-3.5156
461;25.895;45013.28759;30;-3.5156
518;25.61;45079.26092;30;-3.2814
159.4104;27.402948;38281.67103;30;8.9676
982.6752;23.286624;46372.00262;30;-17.2008
85.0392;27.774804;37422.85215;32;23.8637
84.1248;27.779376;37430.12872;32;23.8637
86.5632;27.767184;37423.36938;32;23.8637
81.0768;27.794616;37439.35492;32;23.5712
80.4672;27.797664;37412.71243;32;23.5712
80.4672;27.797664;37426.72359;32;23.5712
86.868;27.76566;37398.00893;32;23.8637
14.0208;28.129896;32780.51335;22;-73.4522
275.2344;26.823828;36647.94313;32;-131.9892
279.8064;26.800968;36636.8823;32;-131.9892
285.5976;26.772012;36600.45686;32;-130.3526
278.892;26.80554;36638.36441;32;-131.9892
288;26.76;36561.04756;32;-130.3526
286.512;26.76744;36568.41998;32;-130.3526
293.2176;26.733912;36538.95158;32;-130.3526
281.0256;26.794872;36703.14042;32;-131.9892
313.0296;26.634852;36565.02169;32;-130.3526
287.1216;26.764392;36586.09298;32;-130.3526
274.32;26.8284;36571.71003;32;-131.9892
274.32;26.8284;36671.32683;32;-131.9892
280;26.8;36608.15858;32;-131.9892
285.5976;26.772012;36665.48867;32;-131.9892
284.6832;26.776584;36616.86071;32;-131.9892
287.4264;26.762868;36588.4625;32;-130.3526
276.4536;26.817732;36638.38944;32;-131.9892
261.5184;26.892408;44670.9483;30;-61.9198
121.92;27.5904;38383.80631;20;-10.9309
146.9136;27.465432;38198.09409;20;-10.9309
144.78;27.4761;36913.81693;36;-39.9422
560.2224;25.398888;36833.1841;34;-25.8384
204.216;27.17892;38672.97063;36;-25.9004
189.8904;27.250548;38603.92576;36;-25.9004
193.548;27.23226;38515.53759;36;-27.8324
188.3664;27.258168;38587.44962;36;-29.0673
142.0368;27.489816;36520.56911;32;31.285
142.6464;27.486768;36529.5136;32;31.285
142.9512;27.485244;36529.33474;32;31.285
153.0096;27.434952;37436.08322;36;-24.4421
15.5448;28.122276;29269.61699;18;-3.8006
107.8992;27.660504;37535.98017;32;24.8071
109.1184;27.654408;37381.22144;34;30.4576
110.0328;27.649836;37378.85566;34;30.4576
101.4984;27.692508;41846.48303;36;34.2585
117.348;27.61326;45106.49817;30;-1.7549
97.536;27.71232;35682.08045;22;-11.462
78.9432;27.805284;35638.35589;22;-11.462
323.6976;26.581512;35281.63266;34;-27.4203
141.732;27.49134;35295.87824;32;-1.8447
77.724;27.81138;38745.41063;24;-10.7033
259.08;26.9046;43559.78291;30;28.1974
259;26.905;43727.20544;30;28.261
505;25.675;45533.9982;30;-2.7063
171.2976;27.343512;43933.34668;36;13.4174
23.1648;28.084176;34182.19471;20;-108.4654
27.432;28.06284;34348.31063;20;-103.007
2855.3664;13.923168;47551.33092;34;-71.9153
501.7008;25.691496;45394.59903;30;-4.334
482.4984;25.787508;45382.11498;30;-4.334
300.8376;26.695812;36145.99057;32;-121.3978
299.3136;26.703432;36146.75157;32;-121.3978
298.704;26.70648;36153.91771;32;-121.3978
19.812;28.10094;37035.7298;26;-15.3754
89.916;27.75042;35141.21099;20;-7.9463
415.1376;26.124312;37997.17178;34;-38.7833
271.5768;26.842116;35076.15121;22;-11.083
468;25.86;45534.9528;30;-3.6517
460.5528;25.897236;45435.39182;30;-2.7063
490;25.75;45653.67922;30;-4.7005
136.8552;27.515724;37457.97803;32;30.7509
136.8552;27.515724;37458.16168;32;30.7509
137.4648;27.512676;37467.93065;32;30.7509
137.4648;27.512676;37468.4243;32;30.7509
139.2936;27.503532;37498.44429;32;30.7509
136.8552;27.515724;37457.61204;32;30.7509
107.5944;27.662028;41894.32171;36;20.4767
137.16;27.5142;37507.49731;32;30.7509
137.4648;27.512676;37526.38513;32;30.7509
54.5592;27.927204;38049.37834;20;-14.9738
