Longitude;Latitude;DEPART;Elevation (m);Moho Depth (m);Curie Depth (Km);Free Air Anomaly (mGal);Vertical Gravity Gradient (E);Bouguer Anomaly (mGal);Fault;Strike-slip Fault;Reverse or Thrust Fault;Lineament;Magnetic Anomaly (nT)
-74.20205825;0.24577744;CAQUETÁ;0.042328042;0.261532701;0.642857143;0.173194582;0.267017106;0.452867513;0.300500683;0.316300612;0.228125032;0.147925497;0.617960422
-77.50926382;2.557008581;CAUCA;0.063492063;0.299908501;0.285714286;0.177385946;0.27037301;0.443468741;0.026646833;0.067071362;0.011104019;0.269854619;0.486288141
-72.40766448;2.753463949;META;0.037037037;0.29014576;0.857142857;0.161511778;0.254128059;0.433240783;0.061358326;0.185893003;0.185310843;0.149104216;0.766790624
-75.09756151;5.286105099;CALDAS;0.306878307;0.68089417;0.642857143;0.171628845;0.104834878;0.21470107;0.004772011;0.027153922;0.049541673;0.013539929;0.624855467
-73.53102834;10.07773792;CESAR;0.010582011;0.230984898;0.642857143;0.191140351;0.254751722;0.493240733;0.012624167;0.021460076;0.065487663;0.166849384;0.767232094
-74.32570572;8.773510439;BOLÍVAR;0;0.423160625;0.571428571;0.110830104;0.250207888;0.387686085;0.032481679;0.047243541;0.004445744;0.08947506;0.387669617
-72.79884444;11.268766;LA GUAJIRA;0.010582011;0.293399738;0.357142857;0.11600908;0.213738418;0.372216732;0.017187014;0.068453822;0.037564787;0.298054955;0.455213207
-74.99656463;10.33352477;ATLÁNTICO;0;0.359874863;0.285714286;0.115093715;0.246673794;0.393014376;0.024567475;0.025492338;0.009505832;0.569237971;0.456166587
-76.10698083;4.706811109;VALLE DEL CAUCA;0.375661376;0.300432967;0.357142857;0.272462306;0.282222618;0.467975902;0.002332707;0.042268051;0.049645016;0.080259805;0.500161331
-76.52673988;2.307696528;CAUCA;0.587301587;0.825860271;0.214285714;0.239557754;0.178159895;0.109987351;0.004628458;0.038140737;0.043636932;0.198426729;0.441755842
-75.63372258;4.514025745;QUINDÍO;0.322751323;0.538313413;0.357142857;0.213903758;0.197047992;0.315622991;0.008224618;0.040845901;0.041077977;0.057395154;0.563374946
-72.64854069;6.20872755;BOYACÁ;0.407407407;0.583392358;1;0.274822965;0.009147066;0.335224463;0.000891159;0.013661792;0.011337467;0.216385873;0.521198344
-75.89715851;4.937932338;CALDAS;0.19047619;0.381846002;0.357142857;0.168304684;0.190217391;0.313683226;0.010224298;0.021210377;0.048510614;0.012250326;0.573499213
-77.337673;2.777577842;CAUCA;0.010582011;0.260025;0.285714286;0.185961375;0.263542409;0.473630834;0.029717504;0.067587719;0.011754033;0.191337328;0.552416431
-77.32379542;4.542031951;CHOCÓ;0;0.356428387;0.428571429;0.080358457;0.22535044;0.318927386;0.046154959;0.18555425;0.065271453;0.291583374;0.547111651
-73.53609436;4.855655094;CUNDINAMARCA;0.619047619;0.635938558;0.928571429;0.381389423;0.507068187;0.267558106;0.012081819;0.022298594;0.014246848;0.029942425;0.452435193
-75.07646335;9.853264933;BOLÍVAR;0.058201058;0.3564319;0.357142857;0.174278553;0.292795201;0.439039331;0.01635273;0.034868228;0.016358903;0.457241111;0.564396819
-74.71892743;10.28345505;ATLÁNTICO;0.005291005;0.397908188;0.357142857;0.106229224;0.251217629;0.363573757;0.054007725;0.061218604;0.03761487;0.49573445;0.496587698
-74.08010951;9.287595492;MAGDALENA;0.010582011;0.458241446;0.571428571;0.114226543;0.261968401;0.380634847;0.050395786;0.040556847;0.052040841;0.2355042;0.419865105
-75.28317923;10.3879558;ATLÁNTICO;0.026455026;0.280772703;0.071428571;0.137495795;0.269779045;0.404406462;0.026000197;0.007198192;0.006803268;0.617551784;0.388872298
-75.04728551;9.797357641;BOLÍVAR;0.052910053;0.367222224;0.357142857;0.174278553;0.281153481;0.410190578;0.024235577;0.034083773;0.021839695;0.439449881;0.553350983
-75.73040887;9.391982505;CÓRDOBA;0;0.158933478;0.214285714;0.163101626;0.272540984;0.470242024;0.014572227;0.061378256;0.011794247;0.473943766;0.582637964
